Models,Nonsense Name,Terrible Name
1 Model without covariates,-0.276,-0.517
2 Model with covariates no funding,-0.291,-0.532
3 Full Model with covariates ,-0.339,-0.628
4 Full Model with fixed effect for participants,-0.375,-0.813
